multi(Pmax=? [ F pc=-1 ], R{"defaultControllerUsed"}max=? [ C ]):
11	0.965489052521822
12	0.9719047626171093
13	0.9755261426608391
14	0.9783094309627528
15	0.9816378294248428
16	0.9834361153651935
17	0.9845774595927822
18	0.9862452045907012
19	0.987686561796598
20	0.9886745872806809
21	0.9899356528919244
22	0.9908991985612366
23	0.9916194484284625
24	0.9925240882573361
25	0.9932502346906542
26	0.9937997196756041
27	0.9942617823687276
28	0.9947592494134978
29	0.9952085256008801
30	0.9956229933252121

Pmax=? [ (F pc=-1) ]:
N	Result
1	0.0
2	0.24619971722903097
3	0.7283350302176078
4	0.7967826556903945
5	0.8174567258049747
6	0.8403850968992235
7	0.9203237484303003
8	0.9433896100550818
9	0.9549492733987263
10	0.962915385773208
11	0.9784892155457937
12	0.9849180706482884
13	0.9885253520553515
14	0.9910648554161687
15	0.994361561101201
16	0.9960544443304293
17	0.997070446809946
18	0.9978018134598561
19	0.9985423236712127
20	0.9989780082896924
21	0.9992548962126946
22	0.999452198979748
23	0.9996258009849069
24	0.9997368996806417
25	0.9998103422654083
26	0.9998623396418689
27	0.9999043409845794
28	0.9999325557533979
29	0.9999516891036145
30	0.9999652185885274

Pmax=? [ F pc=-2 ]:
N	Result
1	0.0
2	0.0014508908345058314
3	0.014227740549798291
4	0.015514400288548417
5	0.015962178953022176
6	0.016215677950109482
7	0.02319177040116231
8	0.025103190756498816
9	0.026012202300603224
10	0.026457357355732587
11	0.03037772066343335
12	0.03189896331153984
13	0.03285460111655888
14	0.03346441956171422
15	0.0357658950070982
16	0.036919666071264456
17	0.037727371107973556
18	0.038322434064684816
19	0.039726697437378784
20	0.04057897836171678
21	0.041210726263046296
22	0.04172379018575883
23	0.04261222948254722
24	0.04323087281255928
25	0.04371866294295454
26	0.04412346044360871
27	0.04470238824094822
28	0.04514741983018647
29	0.04551418366575992
30	0.04582440402468766

Pmax=? [ F pc=-2 ]/Pmax=? [ G pc!=-1 ]:
N	Result
1	0.0
2	0.0014584672986821573
3	0.014403183338788228
4	0.01582879597679866
5	0.01642626946622055
6	0.016839366778927875
7	0.024313831722594714
8	0.02657887666231132
9	0.02782346888823868
10	0.028597292955229173
11	0.033187808043627545
12	0.03523069783879807
13	0.03668522252763071
14	0.03777920100993087
15	0.04082545743792609
16	0.04261165129231493
17	0.044030214263467066
18	0.045225668994972
19	0.04740943247094902
20	0.04897170814707512
21	0.05029520582675178
22	0.05149695600549895
23	0.05318901377428846
24	0.0545731631813048
25	0.0558156857003345
26	0.05697303911979223
27	0.05837763969437654
28	0.05963067663421281
29	0.06080076970840275
30	0.0619139827322401

Pmax=? [ (F pc=-2)&(G pc!=-1) ]/Pmax=? [ G pc!=-1 ]:
N	Result
1	0.0
2	1.458467298682157E-4
3	7.721093598260836E-4
4	8.064541146331632E-4
5	0.0012076457001448466
6	0.0014301830679929795
7	0.0016261024588919621
8	0.0019117772986586813
9	0.002196067391145919
10	0.0023420118718620003
11	0.002609356537054241
12	0.0027796721247424884
13	0.002983694452324447
14	0.0031923609577081047
15	0.0034075661872950453
16	0.003562890808479369
17	0.0037609948156400726
18	0.003915621506332388
19	0.004080091829411886
20	0.004242530839969698
21	0.00440951361223597
22	0.004550179195258904
23	0.004705137177451454
24	0.004839632540084477
25	0.004975212808946784
26	0.005106793181261424
27	0.005239395729252096
28	0.00535954942375652
29	0.00548350136859454
30	0.005597123644339501

Pmin=? [ F k=N ]:
N	Result
1	1.0
2	1.0
3	0.7538002827709689
4	0.27166496978239213
5	0.20321734430960553
6	0.18254327418263722
7	0.15961490304084902
8	0.07967625156968561
9	0.056610389944878735
10	0.045050726164427374
11	0.037084613448001714
12	0.021510784453684945
13	0.015081927978417564
14	0.011474647079822013
15	0.008935143700618648
16	0.005638436977888314
17	0.0039455546637015065
18	0.002929552523286516
19	0.002198185966597776
20	0.0014576754873127226
21	0.001021991195659305
22	7.451034420219444E-4
23	5.478007354050484E-4
