multi(Pmax=? [ F pc=-1 ], R{"defaultControllerUsed"}max=? [ C ]):
16	0.003235771826470742
17	0.00212711919355039
18	0.0014980142589363385
19	0.0011034609701499668
20	7.597062088226113E-4
21	5.109648982960077E-4
22	3.578914656742719E-4
23	2.600167358973395E-4
24	1.8051428609473216E-4
25	1.2252220600473765E-4
26	8.549086209515923E-5
27	6.14782201706079E-5
28	4.2897998619309226E-5
29	2.9322542361349264E-5
30	2.0416254784597926E-5

Pmin=? [ G pc!=-2 ]/Pmin=? [ F k=N ]:
N	Result
1	1.0
2	0.9782781818301505
3	2.2358019032649543
4	3.0362144439218643
5	6.48822271773179
6	8.550262677582708
7	10.173088593295354
8	13.78185688905899
9	25.95871580929366
10	35.82239634405906
11	45.31853913690087
12	65.2253849608609
13	105.2956588778304
14	147.72576448479208
15	195.20665181572596
16	284.1656584982429
17	431.07083732230103
18	610.3834036407291
19	826.3685904568742
20	1197.0456143726412
21	1775.6005489085205
22	2529.167506308431
23	3473.4273490658543
24	4992.344541353366
25	7340.948227081406
26	10500.757138203975
27	14575.657449518645
28	20852.116260479892
29	30456.81916402871
30	43675.093799543174

Pmin=? [ (F k=N)&(G pc>0) ]:
N	Result
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	0.0
16	0.0
17	0.0
18	0.0
19	0.0
20	0.0
21	0.0
22	0.0
23	0.0
24	0.0
25	0.0
26	0.0
27	0.0
28	0.0
29	0.0
30	0.0
