multi(Pmax=? [ F pc=-1 ], R{"defaultControllerUsed"}max=? [ C ]):
N	Result
1	[(0.0, 0.0)]
2	[(0.5650257876969242, 0.021721818169849576)]
3	[(0.637178715165043, 0.027500775088116082), (0.6821944483386232, 0.02466128095384179)]
4	[(0.7193252437601253, 0.035105377195236), (0.8517589676253441, 0.028228877411761645)]
5	[(0.7642703677586191, 0.03713464907518134), (0.0, 0.03822173344713857), (0.8879776410193506, 0.029340573556442366)]
6	[(0.6568600993094887, 0.04136008162340331), (0.0, 0.04224390549869467), (0.9063823088288432, 0.03013605842485087)]
7	[(0.6863151563637349, 0.047711707479162396), (0.7143039998280256, 0.04745134383311486), (0.8521909937728451, 0.039886425549092455), (0.9312935536081817, 0.03069839215323833)]
8	[(0.7452816529007735, 0.053221606528853695), (0.7557080131389825, 0.05313972952036764), (0.8951264886385955, 0.044752436297664115), (0.9636524172919945, 0.03147783623362225)]
9	[(0.7143010881486724, 0.05661705207323272), (0.7940383672838263, 0.05582524299493195), (0.9214529621099169, 0.04593061935384123), (0.9737654690983296, 0.03176982582578826)]
10	[(0.7017868971174748, 0.06040951818527113), (0.8148487864435741, 0.05895624721710577), (0.9099877728133073, 0.052197660491230105), (0.979347634749515, 0.03210687215291312)]
11	[(0.7561741094701415, 0.06429958841538824), (0.8031434349177874, 0.06381938718133519), (0.8776728031359297, 0.05971036951779748), (0.9263005394367572, 0.05557730752974331), (0.9680713246701971, 0.04390471211093), (0.9857130709472791, 0.03237513843529401)]
12	[(0.773329480481206, 0.06840460911309985), (0.8085601054658853, 0.06802578987727509), (0.8810273853199614, 0.06439845662408289), (0.939613907994871, 0.05882514863822226), (0.9748774566608249, 0.04741055173619747), (0.991178503646572, 0.03229715513434088)]
13	[(0.7644609301243781, 0.07145215301453368), (0.8328467231993285, 0.07061345585380638), (0.9246841783841916, 0.0643034491211138), (0.9525454726307556, 0.06007696184266434), (0.9807226079806785, 0.04833963806864061), (0.9937334883258792, 0.03233551170384911)]
14	[(0.7660311824076314, 0.07463900102039162), (0.8448199255475426, 0.073593815354958), (0.9295459684002356, 0.0678061962776842), (0.9622814717285785, 0.06169981319549665), (0.9800352443215954, 0.05415904472070973), (0.9952735865204949, 0.03253758766146128)]
15	[(0.7985677637220353, 0.07778324886270334), (0.8522562655278101, 0.07683125264636055), (0.9326396647057051, 0.07141556590440222), (0.9584089618923289, 0.06703816139845808), (0.9833591261130248, 0.05728047198002256), (0.9967642280885965, 0.032698745639739714)]
16	[(0.8105613941410266, 0.0809628889781753), (0.8736102679204739, 0.07941139405396347), (0.9445980001528703, 0.07397245912303453), (0.9712583268028496, 0.06753784360285243), (0.9886530684986969, 0.057334770809281455), (0.9978728807540516, 0.03249452576041358)]
17	[(0.809694361386682, 0.08356689382775943), (0.8713957247995181, 0.0825261053319068), (0.9453288435681003, 0.07704635856588515), (0.9740432936231218, 0.07012626005895288), (0.9917803525844054, 0.05748120595483451), (0.9985019786944944, 0.032471196622439226)]
18	[(0.8143964259113998, 0.08619222071538576), (0.881476064938046, 0.08499508228595481), (0.9490338024878777, 0.07989889242010245), (0.9796400476352236, 0.07178972238116575), (0.994248841212838, 0.05776828767937091), (0.9988965319189711, 0.03263673404522986)]
19	[(0.8338690930773243, 0.0887386184496794), (0.8991705403096941, 0.08692330481015798), (0.9539637552511787, 0.08248012463464316), (0.9816980091436855, 0.07468826065897191), (0.9946883374054205, 0.061574997171390845), (0.9992402867589406, 0.03277044201119375)]
20	[(0.8428909658124544, 0.09125087217372779), (0.9066873591362693, 0.08944377668161095), (0.9559648651365593, 0.08537865575500257), (0.9855055984328, 0.07629786156416782), (0.9963320855604908, 0.06151998541411624), (0.9994890309061779, 0.032541889027081716)]
21	[(0.8457568018391959, 0.09343344640480424), (0.9160013242320694, 0.09140538312194557), (0.964379812908638, 0.08669222227612658), (0.9881175772464439, 0.07786868622231713), (0.9966897820139705, 0.06452188063777728), (0.9996421055183211, 0.03250374704305178)]
22	[(0.8512276477752856, 0.09558510239018139), (0.9203098892069472, 0.09364536886518621), (0.9657292960016312, 0.08920590234631065), (0.9883871707912755, 0.0810526824657567), (0.9976618316145243, 0.06461630774049988), (0.9997399804565109, 0.032660090367415066)]
23	[(0.8636288286155562, 0.09765222696869591), (0.9281729694605785, 0.09555906823813526), (0.9672039891847803, 0.09171198732436162), (0.98949117793534, 0.08347281127675897), (0.9976838712512472, 0.06876895533855522), (0.9998194830288452, 0.03278714404913097)]
24	[(0.8706787667779784, 0.09966115232866593), (0.933644275730089, 0.0975702463622701), (0.971779365957868, 0.09338760408444252), (0.9921122592680722, 0.08420413769144307), (0.9983591413679559, 0.06888797568455146), (0.9998774761818499, 0.0325532184404433)]
25	[(0.8747332535036745, 0.10146976389597247), (0.9358549934472348, 0.09953694310703763), (0.9727453478364334, 0.09559405711948582), (0.9927355526005384, 0.08654440699079168), (0.9985024175892646, 0.07173055786094945), (0.9999145080007343, 0.03251154214563111)]
26	[(0.8799547243046011, 0.10322822217948782), (0.939212298377646, 0.10137871054585793), (0.9742465179444126, 0.09758367800707136), (0.9931914013343663, 0.08892367631347037), (0.9988372639495876, 0.07296055191801272), (0.9999385208333621, 0.0325379012021049)]
27	[(0.8883746119625529, 0.10490877064928356), (0.9434245214914586, 0.10307517971346666), (0.9753310829148882, 0.09962334712430924), (0.9934732377676809, 0.09142443283026694), (0.9989609982827461, 0.07569054357824362), (0.9999571011644829, 0.03255903153232089)]
28	[(0.8939995358001587, 0.10652725631562422), (0.9465188027743836, 0.1047741600289702), (0.9791401339023611, 0.10089618208093208), (0.9943719496568033, 0.09294698706664209), (0.9990586447207701, 0.07827142186015591), (0.9999706769032868, 0.03251755484216792)]
29	[(0.8981443477749309, 0.10801591965909008), (0.9520540060569694, 0.10612168705302548), (0.9803156641931512, 0.10262082908556605), (0.9955946415568732, 0.09377748034331476), (0.9993377816333721, 0.07833655078632268), (0.9999795833581546, 0.03250535358276079)]
30	[(0.9027520692562242, 0.10945087265414837), (0.9563135931960217, 0.10751043288247603), (0.9818841745148659, 0.10415488778000978), (0.996081188359962, 0.09547505596700648), (0.9993550001486866, 0.08145718334125819), (0.9999854323542163, 0.03250878071671061)]

Pmax=? [ (F pc=-1)&(G pc!=-2) ]:
N	Result
1	0.0
2	0.5454761513440597
3	0.6591074613960434
4	0.8245163392650834
5	0.860064726509537
6	0.8773736953733788
7	0.9014708547792208
8	0.932813542700721
9	0.9425474658918886
10	0.9477029529244488
11	0.953733631196114
12	0.9591562616058842
13	0.9616231244521561
14	0.962998923716613
15	0.9645240651344473
16	0.9677543058022651
17	0.9706197505101279
18	0.9730580784776095
19	0.975115957013589
20	0.97688062874056
21	0.9784165333184164
22	0.9797400360468425
23	0.9808789503860551
24	0.9818602756713783
25	0.9827188752810403
26	0.9834615336355021
27	0.9841018820715453
28	0.9846547791643535
29	0.9851319138888408
30	0.9855433185794265

Pmin=? [ F k=N ]:
N	Result
1	1.0
2	1.0
3	0.4349742123030757
4	0.3178055516613768
5	0.14824103237465597
6	0.11202235898064966
7	0.09361769117061414
8	0.06870644638557795
9	0.036347582688098956
10	0.026234530873527534
11	0.020652365188922762
12	0.014286928967608598
13	0.008821496276382353
14	0.006266511625914578
15	0.004726413404254866
