N	Result
0	Error: Invalid range (0-0) for variable "beta" ("[0..N]", line 33, column 10).
1	[(0.0, 0.0019719544259421563)]
2	[(0.47874524959275605, 0.3746911141517636)]
3	[(0.6473099514940284, 0.5137886948772427), (0.6422080434898407, 0.5279411739770752), (0.6156570239791935, 0.52802900665319)]
4	[(0.7294225465095282, 0.6345783168010384), (0.74510048975063, 0.6345422850103039), (0.7609206060013028, 0.6260968506380206), (0.7671732684407347, 0.6080377738798928)]
5	[(0.7905702242120942, 0.7013392790219749), (0.8037114166295649, 0.7013168387724773), (0.8277474296799359, 0.6855221320386867), (0.8337714468984394, 0.6660507681128917)]
6	[(0.8343819966749061, 0.746763075816197), (0.8426459732932536, 0.7467489604906249), (0.8646226591713617, 0.7407904137966624), (0.8794836600782683, 0.7045619867509862)]
7	[(0.8729445674257011, 0.7789360797913484), (0.8887309003207012, 0.7774297613422851), (0.8955453868814388, 0.7733516937467918), (0.9054081092782813, 0.7515271029685356), (0.9100521493009024, 0.7294045396779746)]
8	[(0.9011450067687228, 0.8055512706192919), (0.9222704817046087, 0.7949340112876601), (0.933082896172084, 0.7481676664549812)]
9	[(0.9169395159863276, 0.8280852727535767), (0.9336586947954314, 0.8246051178171359), (0.9419382017615896, 0.8135234696791964), (0.9484827324944658, 0.7851482101189278), (0.9506954103007694, 0.7607984626529884)]
10	[(0.8713053031127207, 0.8515959179211212), (0.8797415909940176, 0.8512314703202871), (0.9405539353602084, 0.8456111070887107), (0.9483067593368182, 0.8419198399696064), (0.9580639029643119, 0.8230149722231933), (0.9637450332809485, 0.7705390298445758)]
11	[(0.8882112206283036, 0.8805021324814136), (0.9069201511128518, 0.8792324575449559), (0.9535653199772547, 0.8595965959075209), (0.9614373595149128, 0.8528880507032272), (0.9689568292493277, 0.8315105177754613), (0.973118273544413, 0.7794589284898084)]
12	[(0.9073410827303757, 0.9056789512382748), (0.9202026388903121, 0.9048897681754267), (0.9348502830067597, 0.8986531458398626), (0.9711123357367385, 0.8613858800400422), (0.9769050226289073, 0.8384396865299322), (0.9800364006974356, 0.7857638766452946)]
13	[(0.9253117335557859, 0.925262358693463), (0.9356113707064748, 0.9246179630150047), (0.9512016995979555, 0.9128474934076216), (0.9785470822825512, 0.8678012820733998), (0.9828435943261328, 0.8442243399824405), (0.9852296915457556, 0.7901360189145811)]
14	[(0.9368847731672254, 0.9410622112732205), (0.9482757774931225, 0.9402569421825625), (0.9633844080850017, 0.9234395945183437), (0.9836958828900704, 0.874134974830791), (0.9873380802551872, 0.8478289954866598), (0.989097201118893, 0.793357648508987)]
15	[(0.9475503805811262, 0.95453422263334), (0.9562986928762616, 0.9539300208270695), (0.968079014944637, 0.9426039353157518), (0.9866636006769716, 0.8840605451382484), (0.9905396661778318, 0.8523697942854874), (0.9919401124226146, 0.7957645479322056)]
16	[(0.9568990791398848, 0.9658287308014005), (0.9636919762598318, 0.9653794910006892), (0.9763588728335412, 0.9495828532644748), (0.9900825482952973, 0.8871532537448353), (0.9929955387076264, 0.854355370812468), (0.9940317682471553, 0.7975329883684429)]
17	[(0.9625899571693852, 0.9753282250417092), (0.9689232267460947, 0.9748971982470239), (0.9852868195985505, 0.9407911094713991), (0.9955814660335505, 0.7988354360723421)]
18	[(0.966990932029067, 0.9836536118636016), (0.972560977210874, 0.9832707344674747), (0.9824659827859946, 0.9751781187454331), (0.9886167225478838, 0.9476085024691163), (0.9953024359033295, 0.8806363808485635), (0.9967318378747372, 0.7998036404263382)]
19	[(0.9714501093903756, 0.9909370656112777), (0.9760994335498328, 0.9906193054370522), (0.990487664601042, 0.9604358147226999), (0.997583067750622, 0.8005236574477161)]
20	[(0.9750840839151065, 0.9972914134960484), (0.9792039897825023, 0.9970081178326966), (0.9924354637944706, 0.9681551317423439), (0.9982117289702418, 0.8010563524379548)]
21	[(0.9783455192661716, 1.0028265178672426), (0.9819336252287809, 1.0025802362768856), (0.99416116906105, 0.9729692443056426), (0.9986765329936765, 0.8014497618562382)]
22	[(0.9813229251801558, 1.0076148432687266), (0.9843805181681435, 1.0074064418650013), (0.995448957829578, 0.9776169790178585), (0.9990206886141357, 0.8017408484945079)]
23	[(0.9839562731433312, 1.011725006931215), (0.9865850325892868, 1.0115459596961731), (0.9965467337116282, 0.9801428604562319), (0.999275480835466, 0.8019564983634733)]
24	[(0.9862094055315713, 1.0152516616837037), (0.9888150694726028, 1.015025661635443), (0.997407419086346, 0.9816389998560456), (0.9994639615184684, 0.8021161469621633)]
25	[(0.9881533453590945, 1.0182822410146026), (0.9903886694647124, 1.018088570930018), (0.997879126857441, 0.9874562221859811), (0.9996032643826694, 0.8022341859583959)]
26	[(0.9898045601035741, 1.0208898868450196), (0.9917434147854313, 1.0207200611789233), (0.9983833913352961, 0.9892780009158034), (0.9997065045801692, 0.8023215690890245)]
27	[(0.9912045109414356, 1.0231378676593215), (0.9928925751211561, 1.022988305112452), (0.9986934785396748, 0.9935580940795811), (0.9997828362893443, 0.8023862075708298)]
28	[(0.9924060700607646, 1.0250785417472386), (0.9938650915727334, 1.0249489584084357), (0.998966051520845, 0.9964058345043854), (0.9998393195457764, 0.8024340494883335)]
29	[(0.9934447536127511, 1.0267541870672006), (0.9947022679804418, 1.0266426140826315), (0.9992096856900907, 0.9978024365646826), (0.9998811087326847, 0.802469450512028)]
30	[(0.9943430705786773, 1.0282004660639399), (0.995427921611491, 1.028104253711293), (0.9993426452605771, 1.0017396725912247), (0.9999120271810092, 0.8024956417398127)]
