multi(Pmax=? [ F pc=-1 ], Pmax=? [ F pc=-2 ]):
N	Result
1	[(0.0, 0.010835789976894272)]
2	[(0.016923943817593795, 0.39723241876099835), (0.05273824380231495, 0.10054130202847622)]
3	[(0.018041967794548322, 0.5965405891568927), (0.025321736879128594, 0.5766449065372361), (0.06248091024521651, 0.27619187432569614), (0.07826965623551294, 0.14539549741296592), (0.0791568202564072, 0.12799878834150397)]
4	[(0.02221630540277481, 0.721755730632768), (0.03287513335425041, 0.7035424770035547), (0.03514342826964607, 0.6955804009278803), (0.08883138610173646, 0.47479306201301663), (0.10075244356131553, 0.4050782680458507), (0.12549933984308442, 0.19784943389561307), (0.12591064897385346, 0.1897839295267455)]
5	[(0.02481129585658708, 0.8038193961199278), (0.0, 0.8038493424014459), (0.039007339677448426, 0.7833297017866967), (0.10123972049666119, 0.6131913796119444), (0.12590805302237823, 0.5123471243771556), (0.15182944849633823, 0.33478893123183073), (0.1633026644509548, 0.2387129975406769), (0.1635617206263942, 0.23312287923567784)]
6	[(0.026599232074232503, 0.8564276102946913), (0.0, 0.856512024017827), (0.04260625985387457, 0.8358435975243448), (0.09981604679309303, 0.7122682423627332), (0.15145557296356835, 0.5428368920829739), (0.17864689598687905, 0.4006497679393229), (0.19450660869298794, 0.2803575061660075), (0.19495870642319701, 0.26213141220993513)]
7	[(0.13624384490210073, 0.6864466741331858), (0.09710114177231052, 0.7780806875748452), (0.163463295441883, 0.5953785998229317), (0.19751040349697485, 0.4545057265206859), (0.22116222384126216, 0.31123059132853703), (0.22194491297912486, 0.2853790785509203), (0.027434178113706263, 0.8904643260880005), (0.0, 0.8905172475994221), (0.03275281281662898, 0.8861696290032741), (0.044218692803924445, 0.8716542124598289)]
8	[(0.16622732166095358, 0.6589637866170827), (0.12336847337344245, 0.7692502552556684), (0.21151883343069117, 0.5089725401395705), (0.2353490430151585, 0.4043952946256393), (0.2457710349094259, 0.327523307394045), (0.24621197713925858, 0.30536810995086194), (0.028269160433506028, 0.913164829824332), (0.0, 0.9132063506682256), (0.03417224625367149, 0.9084608758046038), (0.1000476896358174, 0.8105154600302266)]
9	[(0.20614642275461967, 0.6034992947858546), (0.13637354207115274, 0.7774488103164987), (0.2415409229232133, 0.494088825878256), (0.25492339525830676, 0.4367283685430655), (0.26785131002023477, 0.34328427633138536), (0.26821751043698316, 0.32308026600181283), (0.029240985721062162, 0.9287504304474348), (0.0, 0.9288234533283604), (0.035230106848336315, 0.923718579653797), (0.10196569734699341, 0.8329446617197879)]
10	[(0.21248391681123496, 0.6419144342570553), (0.1386340537140212, 0.7978674482129712), (0.25205194742007975, 0.5395968726067618), (0.2725257955904893, 0.4636304767823179), (0.2878722711192969, 0.3581908330654868), (0.28823326215665696, 0.3389509397133819), (0.02967746123699511, 0.9397618763014375), (0.0, 0.9398148110748051), (0.035952103312759214, 0.934446484406078), (0.10404067848974012, 0.8479030283795322)]
11	[(0.2294640289389181, 0.6471620174848655), (0.14286228113180138, 0.808814620026546), (0.2707765410822635, 0.5479739210868344), (0.29183902052700955, 0.4693765651548707), (0.3061385698122342, 0.3709212993334501), (0.3064605430339341, 0.3532985775194667), (0.03001977136383696, 0.9476279922367822), (0.0, 0.947666914179732), (0.03638440776201766, 0.9421470604889921), (0.10519254360151156, 0.8592482278560738)]
12	[(0.23476385340990058, 0.6702073491174332), (0.1440879986915602, 0.8199128540224474), (0.2885150412833797, 0.5514572392633615), (0.309718616676854, 0.4726216733991634), (0.32278658102790875, 0.38249430954273433), (0.32307904595846226, 0.36633281627486286), (0.030073393388118444, 0.953332407258174), (0.03234938188789786, 0.9518899996337726), (0.10548759560477876, 0.8682289833716273)]
13	[(0.2588404682500115, 0.6543257662727668), (0.15019113071688822, 0.8213772650703404), (0.306030219923766, 0.5495889848363951), (0.32605384535111526, 0.47531933306772545), (0.3379751807550262, 0.392991625808791), (0.33824111471690843, 0.37820327805216125), (0.030326986294382796, 0.9574572775426754), (0.032445012316611434, 0.9560319198980998), (0.10612801801868557, 0.8743482247179357)]
14	[(0.2688093234848305, 0.660872344833442), (0.1521408274505583, 0.8262868452830887), (0.3211311458562228, 0.5499359034013069), (0.3409471993381064, 0.4777931593854249), (0.3518373555528293, 0.4025442061859752), (0.35207943877592596, 0.38902643321665153), (0.030364415094610527, 0.9605091037556392), (0.032347857963253596, 0.9591910762246507), (0.10660591233803471, 0.8788773388957074)]
15	[(0.2709598528916986, 0.6755648924392208), (0.15260349934427436, 0.8312651551641587), (0.32647599570026065, 0.5725646702463345), (0.34944801660307145, 0.5024836130126589), (0.3644902964476567, 0.41126729910888904), (0.36471193148889497, 0.3989007691815246), (0.030262164383074976, 0.9627871165070787), (0.0316693475683215, 0.9620381539464147), (0.10627792457251094, 0.8829774715358316)]
16	[(0.2835714297050363, 0.671499885277557), (0.1531219516794219, 0.8347819497759847), (0.3412960002097752, 0.566619516281308), (0.3622588334902974, 0.5027253401109468), (0.3760438046390615, 0.4191935392864584), (0.3762449169932193, 0.40791261477124063), (0.030286006382816918, 0.9644884139413126), (0.03149384789348893, 0.9638511651598439), (0.10654250053432625, 0.885460410035771)]
17	[(0.28824532612520204, 0.676519149178619), (0.15715508094915698, 0.8333068220427), (0.3548284052783093, 0.5611656999291856), (0.3739782586125672, 0.5028345737814413), (0.38659134196258743, 0.42644176383693344), (0.38677479637919093, 0.41613899493357465), (0.03030174811370865, 0.9657648983378648), (0.031380609172287674, 0.9651743654368025), (0.10673236327877583, 0.8873128686763355)]
18	[(0.30378495487460677, 0.6651390295955072), (0.185136445314616, 0.804624129449016), (0.36720544992871074, 0.556119386776129), (0.38469057101569254, 0.5028777268088872), (0.39622327983953964, 0.43303120941060214), (0.3963892178218119, 0.42364927718994294), (0.030312181704910873, 0.9667243426926668), (0.03146123796333147, 0.9660079446761501), (0.13258794881380204, 0.8619210752185037)]
19	[(0.3298514256657068, 0.6382236243127739), (0.23016250538118604, 0.7577946692731066), (0.3785146406143993, 0.5514849852515585), (0.3944778682738617, 0.5028881916768654), (0.40501929896993494, 0.43901964610104294), (0.40516799786160496, 0.4305062931515732), (0.030319289783746737, 0.9674464331139381), (0.03152355032287497, 0.9666161501191175), (0.14665686136066794, 0.8486638718052011)]
20	[(0.33511776411601923, 0.6393029129734739), (0.23090888904245682, 0.7599665065083616), (0.38768060128274273, 0.5499859961423349), (0.40341791993930537, 0.5028820947183088), (0.413048090320427, 0.44454251706245035), (0.41318389686260615, 0.43676714321721183), (0.03032433932933566, 0.9679903899283316), (0.03129290518496934, 0.9673170080539005), (0.14677900902045227, 0.8497193933376463)]
21	[(0.3476895567176429, 0.6294582218522566), (0.2311626300129312, 0.7619511745824625), (0.3969461233704024, 0.5464893070491654), (0.41110477675546386, 0.50484854396763), (0.42037950039754557, 0.4495792213483719), (0.4205032849451152, 0.44248381773209355), (0.030328059917976012, 0.9684004088769933), (0.03099212998431947, 0.9679542735053068), (0.14687047653699822, 0.8505089576758571)]
22	[(0.34990908803646575, 0.6323627135127659), (0.2458759838733311, 0.7482224827182705), (0.40565777053670804, 0.5427156052102264), (0.4186043512415824, 0.5046528615876698), (0.42707368380960226, 0.45418336967639494), (0.42718672660397244, 0.4477037061279755), (0.030330865556416627, 0.9687095917311798), (0.030947877928871596, 0.968270138672306), (0.15206222415760828, 0.845856737286073)]
23	[(0.36178247352213144, 0.6222717939088364), (0.24604070306956655, 0.7495058552746177), (0.4129536093190478, 0.5407466016435301), (0.4254383179318606, 0.5045315129872021), (0.4331862717575723, 0.458387207147568), (0.43328950166774616, 0.4524700326179821), (0.030329465980455314, 0.9689428464701338), (0.030721777605858844, 0.9686804707693953), (0.15211685410530826, 0.846324761184784)]
24	[(0.34964642027702686, 0.6403394649950549), (0.15329598316642526, 0.8455215502595348), (0.415798990548509, 0.5474603447270193), (0.43167953573293905, 0.5044136159010224), (0.4387678071217936, 0.462225642595675), (0.43886207400112653, 0.45682223841448466), (0.030331986982262832, 0.9691187638816849), (0.03052689055457862, 0.969007391391981), (0.10581636637960763, 0.8934295374815546)]
25	[(0.3510084538550853, 0.6412916565318323), (0.13307693703164347, 0.8662063429386965), (0.42289021848864305, 0.5435620358017837), (0.4373920895366494, 0.5042529525203279), (0.4438644346262471, 0.4657304983240637), (0.4439505155034803, 0.46079632206742815), (0.03033391505892242, 0.9692514918682372), (0.030450829993252614, 0.9691915171110415), (0.045606369485182124, 0.9540865618652858)]
26	[(0.030347763679160915, 0.9693509184999597), (0.03824467307603981, 0.9615437571849392), (0.3501406607454917, 0.6441261875188932), (0.4293661249487671, 0.5400007519457064), (0.442608329349535, 0.5041062735909452), (0.4485182859509487, 0.46893080030478895), (0.44859689095699395, 0.4644251453090489)]
27	[(0.030342276964642985, 0.9694270435764809), (0.03168168157790079, 0.9681554311242893), (0.35139990403884264, 0.6441957059976012), (0.4352794975062957, 0.5367487025958557), (0.44737138438572643, 0.5039723615215361), (0.45276783014147975, 0.47185303407184315), (0.4528396080828022, 0.46773870950641316)]
28	[(0.030338250304457314, 0.9694842388443363), (0.0310729676855916, 0.9688017202410633), (0.36311132932287776, 0.6329292921283818), (0.44064850359857055, 0.5338447382409122), (0.45172063233586, 0.5038501040335974), (0.45664819284461067, 0.47452137307440556), (0.45671373638813556, 0.4707644064648765)]
29	[(0.030338058037359276, 0.9695272923928899), (0.030765567920815855, 0.9691380312081521), (0.37435638401527416, 0.6220523694853703), (0.44558180028525246, 0.5311273026215071), (0.45569202711438717, 0.5037384857389381), (0.4601914473790125, 0.47695788407132556), (0.46025129784349217, 0.4735272464904321)]
30	[(0.03033856841356236, 0.9695597763790837), (0.030584828042800286, 0.9693408654602711), (0.3756771808344986, 0.6215523992281636), (0.45008651006048445, 0.5286459553832206), (0.4593183974358565, 0.5036365798642336), (0.4634268802644002, 0.4791827128405224), (0.4634815320294706, 0.4760500660793616)]

Pmax=? [ (F pc=-1)&(G pc!=-2) ]:
N	Result
1	0.0
2	0.05273824380231495
3	0.0791568202564072
4	0.12591064897385346
5	0.1635617206263942
