N	Result
0	Error: Invalid range (0-0) for variable "beta" ("[0..N]", line 33, column 10).
1	[(0.0, 0.010835789976894272)]
2	[(0.3608844101082587, 0.39782351517310377)]
3	[(0.5576743411004863, 0.6169072623795331), (0.5580661036528302, 0.6150700693490695)]
4	[(0.6898008391047689, 0.759505879282834), (0.6910379227713256, 0.7567285286243621)]
5	[(0.7717780773119314, 0.8558037323270419), (0.7739779680981689, 0.8523167498921485)]
6	[(0.8309781183083105, 0.9261057202898261), (0.8338415984399761, 0.9218435799289845)]
7	[(0.8730293533613147, 0.9754542479850952), (0.876310658684017, 0.970414451789228)]
8	[(0.9033715322941348, 1.010556332436808), (0.9067649953458565, 1.004791531640368)]
9	[(0.9227096761245477, 1.0361688494464807), (0.9289574048505636, 1.0296580901343049)]
10	[(0.9385641511199374, 1.0558569182670143), (0.9455157632465854, 1.0481526771861276)]
11	[(0.9239797591324979, 1.0769621419256095), (0.9543885393703759, 1.0706801170976834), (0.9580602863269834, 1.0621407492883985)]
12	[(0.9254709872796858, 1.0984477781004283), (0.9261369537602686, 1.098437024208608), (0.9643737891218478, 1.0824363519758589), (0.967646537842007, 1.0728213856959918)]
13	[(0.9346476736719724, 1.1179140399132788), (0.9543240860120957, 1.1096081366483372), (0.9750059582946868, 1.0810194161144004)]
14	[(0.9444963286977948, 1.1346148614187261), (0.9639490728642905, 1.121309824416186), (0.9806726050810401, 1.0873353660816574)]
15	[(0.9532678660725041, 1.148726162822969), (0.9718006994139499, 1.130267124928896), (0.9850445788734341, 1.092213975545353)]
16	[(0.9608023070419425, 1.1606116186949833), (0.9777754369978853, 1.137741680619094), (0.9884219907149518, 1.0959883573601843)]
17	[(0.966892257840072, 1.1705912257535371), (0.9676353265093354, 1.1705536262171503), (0.9784817387623933, 1.1567211906129744), (0.9910331322805661, 1.0989108766976008)]
18	[(0.9722281217469785, 1.1789609881710916), (0.9729383990263394, 1.178922773905882), (0.9829207499088335, 1.1630637011287273), (0.9930527197604011, 1.101174781396229)]
19	[(0.9766834852358119, 1.1859871461343587), (0.9773218101051573, 1.185951960419286), (0.9866375901097469, 1.1673856947003598), (0.9946154016798429, 1.1029290369009634)]
20	[(0.9777980873214446, 1.1924507408484113), (0.9784050285262429, 1.19241731196184), (0.9881454810505113, 1.1790133099677416), (0.9958250056088741, 1.104288787775542)]
21	[(0.9789935952697577, 1.1985766266294884), (0.9795661432273125, 1.198545129975301), (0.9900185448613981, 1.1861786569992039), (0.9967616783865856, 1.1053430927250931)]
22	[(0.9802021908101319, 1.2043564078816267), (0.9807394147396922, 1.204326901163645), (0.9917123470235036, 1.191582096686705), (0.9974872976470517, 1.1061608383826251)]
23	[(0.9814050009944124, 1.2097902410905514), (0.9819070670518093, 1.2097627117900922), (0.9934050747163372, 1.194469730973248), (0.9980496460090023, 1.1067953151808623)]
24	[(0.9825814174628426, 1.2148841154728502), (0.9831355535657944, 1.2148493060645704), (0.994482108032019, 1.198910487198528), (0.9984856340197963, 1.107287759423207)]
25	[(0.9837137446573099, 1.219649445487625), (0.9842296096934889, 1.2196170574513419), (0.9954705066375561, 1.2020014173724416), (0.998823785517606, 1.10767009025491)]
26	[(0.9847946220649308, 1.2241004509908375), (0.9852744382008329, 1.224070350892136), (0.9963755640611679, 1.2039120436443962), (0.9990861528516042, 1.1079670231889271)]
27	[(0.9858210812707424, 1.228252524913069), (0.9862669183737379, 1.22822457359319), (0.9969698409040924, 1.2068006533226783), (0.9992897928105453, 1.1081977025948992)]
28	[(0.9867897199430754, 1.2321220404101172), (0.9872037616662285, 1.2320960973032737), (0.9975038250045244, 1.2088817323336811), (0.9994479043574778, 1.1083769630321079)]
29	[(0.9876996864585361, 1.235725790813965), (0.9880840728453997, 1.235701718796865), (0.9977373628564363, 1.2130581214172658), (0.9995705537471922, 1.1085162975814327)]
30	[(0.9885520315193618, 1.2390803975677407), (0.9889586273807293, 1.239051638148942), (0.9981344517034149, 1.214928379414462), (0.9996659660750318, 1.1086246361359247)]
