multi(Pmax=? [ F pc=-1 ], R{"defaultControllerUsed"}max=? [ C ]):
N	Result
1	[(0.0, 0.0)]
2	[(0.1271679737383701, 0.062416038415410366), (0.4529413322292838, 0.05568120413043579)]
3	[(0.5888702185975121, 0.09819033102969972), (0.6378037655119713, 0.09148703073032376)]
4	[(0.554619088582843, 0.12285073476245771), (0.7622792956565222, 0.11300251946668881), (0.7644060087361422, 0.10866257938750598)]
5	[(0.6153309040293945, 0.14094396678839224), (0.782203737659951, 0.1278015309849439), (0.8422712078423298, 0.12065314797668147)]
6	[(0.5310302689200435, 0.16644885830988354), (0.6701201835840268, 0.16356237723717276), (0.8787442989207009, 0.14257700105996793), (0.9160947503735577, 0.12958286809073308)]
7	[(0.6901791481914537, 0.18951746854401277), (0.7494908686375014, 0.1873066258849993), (0.8932983974302472, 0.1604398074048252), (0.9467791217667318, 0.13425229437976635)]
8	[(0.705672985452084, 0.2072254626192943), (0.7677368019593743, 0.2046822995613699), (0.8409804169972215, 0.19772344114161036), (0.8548151468369567, 0.19464521450596317), (0.9277261080119292, 0.16739896681477706), (0.9642821319613458, 0.13670360748215796)]
9	[(0.7144366945755108, 0.2240009479381633), (0.7936287373817525, 0.2199272570161725), (0.8509153341854598, 0.21422540390484093), (0.9000014962128916, 0.20112505066196776), (0.9544251524891489, 0.16997899514101833), (0.9760393841076775, 0.13830140477735275)]
10	[(0.7203922917879954, 0.24043231477405494), (0.8564437015633285, 0.23090840499968535), (0.9075093792007981, 0.22113771082860736), (0.9433332343187103, 0.20653127125336482), (0.9699800168411412, 0.17209739062201163), (0.9859527822919267, 0.13945306207228006)]
11	[(0.7375361505806487, 0.2561971832705787), (0.8637140365291556, 0.24728579864967348), (0.9112725119174445, 0.23779228984799824), (0.9603923317559797, 0.21368787216081273), (0.9840946765557025, 0.16582042246460768), (0.991172077786688, 0.140193667941573)]
12	[(0.7509367031161556, 0.2710205993581649), (0.8714461487050825, 0.2626041957425927), (0.916186034386415, 0.2530873864181257), (0.9627653347008711, 0.22966918571000122), (0.9771974211364921, 0.20837522216380497), (0.9941665018487258, 0.1406189332679527)]
13	[(0.7629369147649656, 0.28510158051563955), (0.8788106575444088, 0.27698441873306273), (0.9414714286144092, 0.260188550959586), (0.9651704360088931, 0.24474209582753592), (0.9845723912296975, 0.2122095562647505), (0.9962591053387932, 0.14103804988826846)]
14	[(0.7736785229654282, 0.2985248174949132), (0.8853896212183264, 0.2906533488083406), (0.9452026317932529, 0.2746524748626841), (0.9755547316545641, 0.2486863118621358), (0.9907263644725609, 0.21315560426302452), (0.9977369259808735, 0.1412398268944318)]
15	[(0.7833292295951587, 0.31139820556606257), (0.8906642494224885, 0.30383944007454333), (0.9483438698144678, 0.2884056869520819), (0.9766094632761076, 0.2643933204697305), (0.9934894483902726, 0.21837576612341128), (0.9985715031129452, 0.14135684555074643)]
16	[(0.7930008527313899, 0.3236989202565304), (0.895724778256163, 0.3164084113883916), (0.9508081502873932, 0.30166375610701607), (0.9784792198881039, 0.27787912695359657), (0.9939597537125917, 0.23364628238748614), (0.9990645858106839, 0.14142650413963753)]
17	[(0.8026953301166518, 0.33542250217285097), (0.9225640607206054, 0.32427732577177704), (0.9694618558233894, 0.3041054391655289), (0.988142501941615, 0.27421449462437425), (0.9966705125271982, 0.22663385585251158), (0.9994068453394747, 0.14148333213304165)]
18	[(0.8119423005250613, 0.3465946960975131), (0.9263034589277643, 0.3359440240425951), (0.9714517589120635, 0.3162166016561075), (0.9891578452392527, 0.28712342390288553), (0.9974064676037319, 0.23529976906385455), (0.999634397731985, 0.141515629207685)]
19	[(0.820659280410345, 0.3572493460464556), (0.9297670918357982, 0.34709094812324187), (0.9726392360878393, 0.32835793160789617), (0.9897716662185069, 0.30018590044414534), (0.9976527636333699, 0.24902816998982572), (0.9997684027397394, 0.14153449338337645)]
20	[(0.8289390020181551, 0.36741234907718945), (0.9377989734581171, 0.35669210615177727), (0.9742296235179831, 0.3395738206295866), (0.992091420784635, 0.30710641793613047), (0.9984510428336073, 0.2517532601532033), (0.9998502004827963, 0.14154694481141103)]
21	[(0.836847562263521, 0.3771055659480443), (0.9406792249449745, 0.366879416362163), (0.9754378170832212, 0.3505518635496109), (0.9925824770605386, 0.3190528820711569), (0.9985411607775206, 0.26652263284863476), (0.9999054101159289, 0.14155566600434594)]
22	[(0.8443981593219633, 0.38635010832176303), (0.9434158653995515, 0.3765982060299609), (0.9765912430912023, 0.3610136100916975), (0.9930546763496404, 0.3304360597042034), (0.9986311635725913, 0.28061173403657913), (0.9999411266044199, 0.14156084324252832)]
23	[(0.8515984224838768, 0.39516685400820756), (0.9460314400416403, 0.3858667677530876), (0.9776757860441764, 0.3710004343464911), (0.9936688110306668, 0.3405458625337508), (0.9991041573363371, 0.28188836022114844), (0.9999625059483316, 0.14156390262118893)]
24	[(0.8584634755616346, 0.40357574260567597), (0.9495739404230876, 0.39443231137714496), (0.9788077782515118, 0.38042225985447936), (0.9949505304517289, 0.3468058057325649), (0.9991857349564572, 0.29407417686036114), (0.9999759406316387, 0.14156594294675423)]
25	[(0.8650107201289895, 0.4115956570186106), (0.9536186703128863, 0.4024217388463628), (0.9803404457459227, 0.3889276636971324), (0.9958712446229945, 0.35400713814518997), (0.9992808192322019, 0.3043591479745199), (0.9999848186696888, 0.14156730207783827)]
26	[(0.8712554679288346, 0.41924456019614253), (0.9557642277750866, 0.41049502539722116), (0.9812492561525705, 0.3976262202217749), (0.9961947210384623, 0.36354762043560823), (0.9994893045465293, 0.3076338418143616), (0.999990487722232, 0.1415681268332241)]
27	[(0.8772114652157321, 0.4265396067244524), (0.9578104703287005, 0.41819486663276434), (0.9821170108010979, 0.4059210830929122), (0.9963710161547562, 0.3734170357096437), (0.9995212306010801, 0.3195077782472172), (0.9999938141616606, 0.1415686280464593)]
28	[(0.8828918754305386, 0.4334971707544076), (0.9597619660354707, 0.4255384611007125), (0.9829445104559862, 0.4138322181054534), (0.9965402229463465, 0.382822563181881), (0.9995629603683202, 0.33004975927625013), (0.9999960489194327, 0.14156895888054777)]
29	[(0.8883094611195615, 0.44013286775683574), (0.9616612235886037, 0.4325311559868506), (0.9837335020708912, 0.42137763480069357), (0.9967359716486092, 0.39154438082305754), (0.9996317435350717, 0.3379294341984147), (0.999997502685503, 0.14156917381094908)]
30	[(0.8934764233284784, 0.44646158746694237), (0.963434827382029, 0.4392115387766369), (0.9844859571359517, 0.42857405823350764), (0.9970790053448799, 0.3986357331472509), (0.9997126312618158, 0.3438404024142895), (0.9999975801771349, 0.14156926112001755)]

Pmax=? [ (F pc=-1)&(G pc!=-2) ]:
N	Result
1	0.0
2	0.4028282485118915
3	0.5522345899967358
4	0.6617539967601654
5	0.7368202542192986
6	0.795551151423563
7	0.8192912231817996
8	0.8332849949307235
9	0.8437963817116683
10	0.8519251473773106
11	0.8561665633296069
12	0.8608382861006665
13	0.8647456561484004
14	0.8678553840433268
15	0.8698430166170221
16	0.871458534277307
17	0.8728109421326615
18	0.8739095518514676
19	0.8747013506492903
20	0.8753023122655481
21	0.8757835815140652
22	0.8761724318233742
23	0.8764689202866244
24	0.8766938536672093
25	0.8768692589286418
26	0.877008704947223
27	0.8771172927397206
28	0.8772006603766528
