N	Result
17	[(0.9530865696121882, 2.1703826616756943), (0.9711526321756584, 2.1635547823250563), (0.9874230589445091, 2.11941930284564), (0.9958460511040437, 1.9964875662256623), (0.9990245634898782, 1.68654589276703), (0.9998479683030215, 0.9848207387472339)]
18	[(0.9588429342753237, 2.1957691875646663), (0.974576267616614, 2.1897001480776535), (0.9915616116294688, 2.1298629110229386), (0.9971142011049641, 2.0074357025871588), (0.9993787440940756, 1.6867975051808117), (0.9998997084980169, 0.9848457318501684)]
19	[(0.9638656109642576, 2.2180430726897553), (0.9775761922487861, 2.2126459349188994), (0.9925132816198928, 2.159959404129359), (0.9975664608619463, 2.0456868736128215), (0.9994577873569013, 1.7677900456174416), (0.9999330103658799, 0.9848668879027358)]
20	[(0.9682517976684728, 2.2376020254302516), (0.980207393149096, 2.232800207562796), (0.9935478918367256, 2.184736671273452), (0.997874675809715, 2.083563242454389), (0.999544826292784, 1.8299496761278755), (0.9999551159098568, 0.9848823273071068)]
21	[(0.9720849179040981, 2.254790697718419), (0.9825175486505303, 2.250516676568176), (0.994268437427678, 2.2081213010645464), (0.9982912336629384, 2.1065667573302798), (0.9996962155325652, 1.8377549620848015), (0.9999696038767474, 0.9848930888666001)]
22	[(0.975437168840832, 2.2699080987261815), (0.9845473563544354, 2.266102290185513), (0.9950559068216369, 2.2271835922791716), (0.9987534352221694, 2.1180218528080967), (0.9997481019396371, 1.888235114662443), (0.9999792764992855, 0.9849005349758755)]
23	[(0.9783714742887168, 2.2832139182414455), (0.9863327256007861, 2.2798236930697042), (0.9959161737274391, 2.242170980608872), (0.9989174387646431, 2.146718077189119), (0.9998278132490085, 1.896735998297039), (0.9999859725959047, 0.9849058611573757)]
24	[(0.9809307391149985, 2.2949388625780465), (0.9879041492754776, 2.291912760571461), (0.9991731775143787, 2.1604119622160476), (0.9999901721540945, 0.984909442847677)]
25	[(0.9831700907296349, 2.305282336263166), (0.9892833018016798, 2.3025811698020213), (0.999289599900882, 2.183415049739463), (0.9999931643106699, 0.9849119454215385)]
26	[(0.9851329621953604, 2.3144158613288672), (0.9904972468668622, 2.3120042106850858), (0.9994649751959823, 2.1939914153985485), (0.9999942714421117, 0.9849127888119006)]
27	[(0.9868561178701001, 2.322487810217001), (0.9915671567460502, 2.3203342003575838), (0.9995810766398758, 2.2073815091323254), (0.999995965216329, 0.9849142154038136)]
28	[(0.9883712002276677, 2.3296270653216458), (0.9925119741419104, 2.32770341667258), (0.9996363412104603, 2.2259731207714366), (0.9999971564972995, 0.9849152370366088)]
29	[(0.9897044038001073, 2.3359458153777215), (0.9933469723127895, 2.3342272074901578), (0.9997096697768018, 2.237292200176304), (0.9999979932630212, 0.9849159619828696)]
30	[(0.990879320909754, 2.3415420256806483), (0.9940854900773068, 2.3400062539733737), (0.9997924110154736, 2.2432938740795723), (0.9999985812011569, 0.9849164726833937)]
