N	Result
0	Error: Invalid range (0-0) for variable "beta" ("[0..N]", line 33, column 10).
1	[(0.0, 0.2152418134013226)]
2	[(0.5478014368340873, 0.8069955465463086)]
3	[(0.7142544701347399, 1.0528487805475206), (0.7312251334841882, 1.0437207289749035), (0.7314303037960938, 1.0421246350455504)]
4	[(0.7442260941345678, 1.207797735485241), (0.7449099280457997, 1.2076476290733102), (0.8457419578100899, 1.1822048334956348), (0.8665715653864471, 1.160538039005118), (0.8702827854064441, 1.1446959823409433)]
5	[(0.7608309881911381, 1.3479667032021285), (0.8540486305556939, 1.3248611229222087), (0.8649850747587213, 1.3174798001225423), (0.9093961848466869, 1.2192366358642523), (0.913313618830778, 1.1917784549137347)]
6	[(0.7909416849397881, 1.4812454938734607), (0.8007923321443827, 1.4791538725613091), (0.8679130489691077, 1.4621924075244703), (0.891962299089183, 1.4321980123308864), (0.9513692106099123, 1.2615194397523921), (0.9536815089440869, 1.238455087945485), (0.955452281324829, 1.0207041349242088)]
7	[(0.8186969635243193, 1.59616579648279), (0.8810509660269296, 1.5807825532888824), (0.8845558888252519, 1.5790404687479314), (0.9259196747394896, 1.4979109140262437), (0.9557872030621843, 1.402510476393585), (0.9717317184277229, 1.2611774263523983), (0.9741291465508719, 0.9889271969014467)]
8	[(0.8423437022088187, 1.6953498988609763), (0.8963119406840512, 1.6821777884778302), (0.9025011408919508, 1.6785381893097766), (0.9831150687727381, 1.273722676675287), (0.9721378249232242, 1.4357395644696105), (0.9867565569589273, 0.9867900904804565), (0.91688395187368, 1.6565968786840553), (0.9555110445914969, 1.5529399916309483), (0.9602376670676847, 1.5311835796112836)]
9	[(0.8625914647482922, 1.7813165790378689), (0.9091164777859495, 1.7700558805398883), (0.914670166103393, 1.766811608467439), (0.9882643945660013, 1.302064283528157), (0.9758405626974018, 1.5482846111506405), (0.9922884689699676, 0.9894221363217657), (0.927891908551288, 1.7466315715975875), (0.9603239841318538, 1.6595999612067864), (0.9649071024682361, 1.638415953070442)]
10	[(0.8801775672208467, 1.8560857047531767), (0.920155915242453, 1.8464714987828859), (0.9251661921246304, 1.8435550906187224), (0.9895544409072564, 1.435315273028688), (0.9788937066473552, 1.6527871577280757), (0.9957510990664813, 0.9856482622132079), (0.9374283247658873, 1.8247656193513688), (0.9652188468182662, 1.750149550360681), (0.9697341689776345, 1.7284420562461333)]
11	[(0.8954408481481311, 1.9211672419435886), (0.9304602130488983, 1.9127439830979605), (0.935640948781108, 1.9090426948298886), (0.9933083866451464, 1.4365899924729462), (0.9869883243863258, 1.6660706034554167), (0.9974846994351407, 0.985050542826414), (0.9457629806367228, 1.8924671833314894), (0.9702112132485361, 1.825859523475099), (0.9805255162398248, 1.7528440077622602)]
12	[(0.9086899935965693, 1.9778825928539499), (0.9388104331293037, 1.970660679434862), (0.9434162803042789, 1.9673535476952793), (0.9954505983066122, 1.449307111530567), (0.9888268589408575, 1.7498976031730529), (0.9985188635371312, 0.9847451391664017), (0.9527456121900187, 1.952035661569036), (0.9737329028893321, 1.8947486989403524), (0.9828668592376333, 1.8304225683054975)]
13	[(0.9201983688891349, 2.027363630397466), (0.9501957772898234, 2.0182113202792693), (0.9961521718134305, 1.5503562394383783), (0.9903940216620204, 1.8225138673114512), (0.999086015717243, 0.984764285189172), (0.9587375213171221, 2.0041671929364013), (0.9775100293062942, 1.9513054228826219), (0.9855222756223989, 1.8918111001596876)]
14	[(0.9302031207153135, 2.0705797518703517), (0.9561185462471071, 2.0626169280128313), (0.9970422375856993, 1.6083873834427376), (0.9918004549962565, 1.8843632119939229), (0.9994340739492255, 0.984690724612476), (0.9704446899946414, 2.033638072343607), (0.9817324936611324, 1.996108668239083), (0.9876084684343891, 1.9474830274529056)]
15	[(0.9389070023702618, 2.108361660272664), (0.9613011595048652, 2.101427584849836), (0.9838859439782772, 2.0427939864485345), (0.9928637362056776, 1.9418599557388503), (0.997800169557313, 1.653661237116367), (0.999639807585869, 0.984737587095081)]
16	[(0.9464846247096576, 2.14142401032074), (0.9658426404730105, 2.1353804735640187), (0.9988720466210075, 1.594503429260444), (0.9951604616015843, 1.949354901839172), (0.9997680195589008, 0.984783583040099), (0.976986166397148, 2.113132485917238), (0.9857705301787819, 2.0836425070419256), (0.9908760220570455, 2.0389102331354825)]
