N	Result
0	Error: Invalid range (0-0) for variable "beta" ("[0..N]", line 33, column 10).
1	1.0
2	0.9980280455740577
3	0.4817571853167695
4	0.3164244132164848
5	0.202518675681449
6	0.13230019454521993
7	0.09171914801838779
8	0.06634433130171238
9	0.04735555486541841
10	0.03313826449263598
11	0.02323374626797882
12	0.016473024552952128
13	0.011679005176138424
14	0.008232406112606717
15	0.005792021596064569
16	0.004085198042611437
17	0.0028857777741730212
18	0.0020369490813445345
19	0.001436405643064083
20	0.001013028821386436
21	7.147755693731192E-4
22	5.043582893174054E-4
23	3.5580263018906863E-4
24	2.509798817348543E-4
25	1.7705257066635716E-4
26	1.2490797938920768E-4
27	8.811813065493095E-5
28	6.216169566258117E-5
29	4.3851062048108104E-5
30	3.093456307388253E-5
