multi(Pmax=? [ F pc=-1 ], Pmax=? [ F pc=-2 ]):
N	Result
1	[(0.0, 0.0)]
2	[(0.4028282485118915, 0.05568120413043579), (0.07099353916450077, 0.062416038415410366)]
3	[(0.49697744553228945, 0.09752718512153231), (0.5462186802278712, 0.09486043148114011), (0.5522345899967358, 0.09091924976520105)]
4	[(0.43839797447820456, 0.12188434144089696), (0.6572029466744607, 0.11190563742365917), (0.6617539967601654, 0.107705889580864)]
5	[(0.481061696438974, 0.13976372055096994), (0.7368202542192986, 0.11828993169681094), (0.7363346997474907, 0.11874887326150797), (0.675102552685583, 0.12541441894238842)]
6	[(0.795551151423563, 0.12618923792201792), (0.3795321083748573, 0.1618688197429736), (0.5198706531121283, 0.15902054373092286), (0.7424227370136347, 0.13861923987332675), (0.7565176646886687, 0.13665250495132344), (0.7944062896543067, 0.1268650904202094)]
7	[(0.8192912231817996, 0.1304985966028423), (0.5148543882400411, 0.1839146988132906), (0.537994796266712, 0.18343787606055592), (0.6170357162234452, 0.17823798068864366), (0.7443640792385328, 0.15522687046742453), (0.7847708805197664, 0.1446949594992774)]
8	[(0.5151425909336468, 0.2007700602871902), (0.6707822210824335, 0.1888328660600619), (0.8332849949307235, 0.13278166423202942), (0.7734023855031922, 0.16136881072433654)]
9	[(0.8437963817116683, 0.13418545782126806), (0.5111375964761411, 0.21652809045878707), (0.5262520776273127, 0.21622148967262103), (0.6505602828565856, 0.2072180507149998), (0.7101208508896726, 0.19529720960101127), (0.7924279116196573, 0.1649126528097256)]
10	[(0.5028875106337397, 0.2316712286353405), (0.5250145137145925, 0.2312221806455119), (0.6455233512966536, 0.2222760509473093), (0.7200942872136125, 0.2077330568932809), (0.7509007648949699, 0.19798020571464037), (0.8518162239090253, 0.13529405752428977), (0.8519251473773106, 0.1347853933663952)]
11	[(0.5049006945640064, 0.2461679511208723), (0.5261621146215142, 0.24574937167985603), (0.6344922247317583, 0.23773100478136536), (0.7260695908184658, 0.21853366389749093), (0.7660318102519426, 0.2009470596024456), (0.8558865683958266, 0.13597351639855013), (0.8561665633296069, 0.13529466282788294)]
12	[(0.5057513567334558, 0.25980501543989226), (0.5247918024790285, 0.259434329229972), (0.6283838344476649, 0.2518114434405174), (0.7127145935995168, 0.2338654133315093), (0.7707462694462857, 0.20590969886348204), (0.8586001440372883, 0.13588119535516488), (0.8608382861006665, 0.12711604372108973)]
13	[(0.5058290258974267, 0.2726665881908911), (0.523473791181504, 0.2723225452510907), (0.6217102606865256, 0.26510255152141654), (0.6988926559763864, 0.24882197092632274), (0.7771007877077395, 0.2077591347591669), (0.8603786115464149, 0.1361513946998175), (0.8647456561484004, 0.12610719956744007)]
14	[(0.5053848879405834, 0.2848299806153204), (0.5222643961216062, 0.2844995950430534), (0.6154461840451354, 0.27764404627913014), (0.6906541422011369, 0.2616211019297956), (0.7723995378078077, 0.21621698605736922), (0.8617099972098424, 0.13615912462506063), (0.8678500234759994, 0.12627000865729937)]
15	[(0.5039904645910481, 0.29636935449212554), (0.521148978707387, 0.2960331414810618), (0.6092240771097595, 0.2895572639850857), (0.6844985434306226, 0.273065420236705), (0.7667316772868582, 0.22453401174736068), (0.8687577976115441, 0.12825727110751492), (0.8698430166170221, 0.12630851301117688)]
16	[(0.503193732196977, 0.3073386851583469), (0.5191500703706164, 0.30702634435044435), (0.6034746409348373, 0.30081535111193947), (0.6753186425487949, 0.2849808004926255), (0.7533659776398565, 0.2384991139556887), (0.870760713615072, 0.12698501054954023), (0.871458534277307, 0.1248510299149423)]
17	[(0.5029099776818046, 0.31773935376980456), (0.5175775943881138, 0.31745255002030254), (0.597362063287674, 0.31157902670415705), (0.6660676933240165, 0.2964381236740223), (0.7390762692000573, 0.253064250965348), (0.8717431631090793, 0.1267432060211458), (0.8728109421326615, 0.12404181131288705)]
18	[(0.5026583304327178, 0.32758453764764645), (0.5164886575098936, 0.32731408804499434), (0.5918022856900012, 0.32177230251160716), (0.6572389546117432, 0.30731463919818336), (0.732061924397938, 0.2615383066217957), (0.8723361939481945, 0.1266963807370781), (0.8739095518514676, 0.12376560847877308)]
19	[(0.5023091107071729, 0.3369054505513266), (0.5155035885150991, 0.33664736715047733), (0.5867699850979351, 0.33140388644819574), (0.6485127878173981, 0.31776318815850746), (0.7274798922333787, 0.26770940894253825), (0.8738692913679387, 0.1252121762729505), (0.8747013506492903, 0.12369739805502189)]
20	[(0.5019460620954951, 0.34573438317661725), (0.514481243595644, 0.3454891772388071), (0.5820343605636662, 0.34051821877437216), (0.6410718725130028, 0.32736086690125066), (0.7162660677980983, 0.2793208604216581), (0.8748731112711612, 0.12434838104202732), (0.8753023122655481, 0.12340560309913025)]
21	[(0.501615870077042, 0.354098140822993), (0.5134801337138843, 0.35386606976556867), (0.5774925544793639, 0.3491554474068708), (0.6343864165173734, 0.3363094520525909), (0.7048646848754547, 0.29098033871220075), (0.8754247834770462, 0.12399490881863014), (0.8757835815140652, 0.1231343834327491)]
22	[(0.50131237911047, 0.3620205931908165), (0.5125408187130447, 0.3618009642381456), (0.5736821194504044, 0.35726443282061177), (0.6302005979539491, 0.34390297720018737), (0.6961298353513096, 0.30018521018519595), (0.8757418575563869, 0.12385696913746723), (0.8761724318233742, 0.12297905572042545)]
23	[(0.5010234136613134, 0.36952473986497236), (0.5116596593465697, 0.3693166930507531), (0.5695680449147359, 0.36502008106292483), (0.6231810759764013, 0.3523322952847856), (0.694467688580056, 0.30292540367777404), (0.8761442008925934, 0.12353318702969579), (0.8764689202866244, 0.12290858799915884)]
24	[(0.5007472873607054, 0.37663276374957), (0.5108244087898152, 0.37643565195905404), (0.5671728753698143, 0.3721295910519683), (0.6244078695240017, 0.35697582421007584), (0.6894359740073852, 0.3085224291853696), (0.8764908212448261, 0.12324040266059341), (0.8766938536672093, 0.1228289807432568)]
25	[(0.5004855008383907, 0.3833656612231354), (0.5100312042946589, 0.3831789441086284), (0.5634068531201043, 0.3791000586979235), (0.6176705542379969, 0.3647240972164233), (0.6841197600402986, 0.3142838932251183), (0.8767262949919624, 0.12306245413019556), (0.8768692589286418, 0.12274704633758289)]
26	[(0.5002380200958755, 0.38974322822594304), (0.509279509257772, 0.38956637402428196), (0.5598384668195062, 0.38570273492270024), (0.6112367647244915, 0.37208634563973864), (0.6748160334408169, 0.32371098660508024), (0.8768743425149453, 0.12297018841528698), (0.877008704947223, 0.12268629057221632)]
27	[(0.5000037568045747, 0.39578419788813557), (0.508567870479032, 0.39561668137618694), (0.5705799606589846, 0.3895206325395145), (0.6056219225321635, 0.3788440501438885), (0.6663867886627883, 0.3322762028354534), (0.8770046670834477, 0.12287616210426525), (0.8771172927397206, 0.12265006991257338)]
28	[(0.49978178601776296, 0.4015063313298271), (0.5078939488897, 0.4013476550512761), (0.5666330587705284, 0.3955733494824109), (0.5998260227223731, 0.3854600391335303), (0.660649653337715, 0.338260173813103), (0.8771196433287943, 0.12278480223702765), (0.8772006603766528, 0.12262177037382338)]
29	[(0.4995714805226197, 0.4069264597718917), (0.5072555484019609, 0.406776157128001), (0.5628945231627543, 0.4013066083205981), (0.594335571924744, 0.39172704924707397), (0.6526648023406143, 0.3463387904877516), (0.8772077184245486, 0.12271636886792384), (0.8772651412487379, 0.1225956605315182)]
