N	Result
0	Error: Invalid range (0-0) for variable "k" ("[0..N]", line 42, column 7).
1	[(0.0, 0.0)]
2	[(0.5454761513440597, 0.021721818169849576)]
3	[(0.6115770716505132, 0.027482287017316868), (0.6591074613960434, 0.024644334127334837)]
4	[(0.685711468434814, 0.03507058060813668), (0.8245163392650834, 0.0281956991311692), (0.7770742856406735, 0.03117554966565032)]
5	[(0.586656830582267, 0.03817896656949061), (0.733831687400727, 0.036899214986210356), (0.860064726509537, 0.02930293186568518), (0.8119144462860151, 0.03278030855127119)]
6	[(0.5027585806388825, 0.042173757627141), (0.7567852631734118, 0.038851393255161765), (0.8773736953733788, 0.030086575062774176), (0.831232819349636, 0.0337357124880729)]
7	[(0.6433214517900341, 0.047615752918420996), (0.7400268585442573, 0.04407537776896643), (0.9014708547792208, 0.03064192874701839), (0.8801419865609432, 0.03468887658771878)]
8	[(0.6973303391419032, 0.053094547810764794), (0.782347189524507, 0.04965120081454852), (0.932813542700721, 0.03141318402393106), (0.8838216697510296, 0.041285387625071716)]
9	[(0.6618685853894412, 0.05646182728852099), (0.7902111290126974, 0.05317201496442116), (0.9425474658918886, 0.03170152876291398), (0.8769288653524409, 0.04582616978060087)]
10	[(0.6462614381278833, 0.06021253570626385), (0.8002124304582084, 0.05658534356408001), (0.9477029529244488, 0.03203186564946487), (0.8915770882286809, 0.047078725728197254)]
11	[(0.7005033117333874, 0.06404372762708473), (0.0, 0.06406497991623473), (0.8252683610530807, 0.059182925880193846), (0.8782441379251388, 0.054442825459125474), (0.9452285241312313, 0.036550231346545975), (0.953733631196114, 0.032282078840896976)]
12	[(0.7141947153169477, 0.06810819110709117), (0.0, 0.06812955817925435), (0.8286210972533979, 0.06347536689257056), (0.8946267149521668, 0.05640740448409129), (0.9387972868643779, 0.042923694298352584), (0.9591562616058842, 0.0322169158393563), (0.9519474223139582, 0.03649198871783626)]
13	[(0.7015930311424177, 0.07111266355152018), (0.0, 0.07113473728999263), (0.833652015538407, 0.06625218422526141), (0.8968726596799355, 0.05922730808163909), (0.9438995056831239, 0.04302086265432096), (0.9616231244521561, 0.03225572431666975)]
14	[(0.7076696623477409, 0.07421196156318295), (0.0, 0.07427477940893154), (0.84631858863506, 0.06885879111620959), (0.9086980660202284, 0.05975250695029573), (0.9466018871544744, 0.04351501505265594), (0.9629941033914542, 0.03232686438691478)]
15	[(0.7291238603026868, 0.07735098734883863), (0.0, 0.07737266425844022), (0.8631918177453254, 0.07107151001081449), (0.9166061856548549, 0.060806917223554614), (0.9490464823055867, 0.04416479642872517), (0.9643590199273138, 0.032366724773263196), (0.9645240651344473, 0.0)]
16	[(0.7383917251697797, 0.08048259424256338), (0.0, 0.0805047681808795), (0.8616205457870558, 0.07470929226291648), (0.9168014647094676, 0.0637092560987455), (0.9457200109112003, 0.04828961910623641), (0.965534352691663, 0.03239093063716224), (0.9677543058022651, 0.0)]
17	[(0.7348912810760971, 0.08303903570107736), (0.0, 0.08306094815189571), (0.8625552804319281, 0.07737781959247811), (0.9098388355973481, 0.068378165691242), (0.9391388619746254, 0.05440992157768573), (0.9661674056005607, 0.03237301861858368), (0.9706197505101279, 0.0)]
18	[(0.7406246842271718, 0.08559585963741004), (0.0, 0.08563695792809324), (0.8639208601458386, 0.08017274067082801), (0.9087862012259443, 0.07143356647451206), (0.9385993071455777, 0.05629229232670529), (0.9711055032517683, 0.025344195636128903), (0.9730580784776095, 0.0)]
19	[(0.75348659953113, 0.08811433619143827), (0.0, 0.088134513472997), (0.86423712590207, 0.08296547553309261), (0.9075315190250526, 0.07443727952842412), (0.9376978107651334, 0.05828572219156834), (0.9736378254175677, 0.02321552603225594), (0.975115957013589, 0.0)]
20	[(0.7601916901846035, 0.09057662754575481), (0.0, 0.09059701451722714), (0.8634667458970963, 0.08578199180498615), (0.9066132313415642, 0.07714252123353393), (0.93518426453363, 0.06127212707798367), (0.9746544281072191, 0.02320887695533555), (0.97688062874056, 0.0)]
21	[(0.7607354829729747, 0.09271076227060886), (0.0, 0.09273044611262239), (0.8640977306409995, 0.0880578730379127), (0.9047036065231252, 0.07982903739414297), (0.9324473183862759, 0.06433544850760207), (0.97646627728973, 0.0217279118126588), (0.9784165333184164, 0.0)]
22	[(0.7607428819811148, 0.09483083025713102), (0.8642103219172701, 0.09041316800441207), (0.9026691907173969, 0.08265921573687189), (0.9282412835247738, 0.06850859073006359), (0.9779476046084673, 0.020543332076763735), (0.9797400360468425, 0.0)]
23	[(0.770946515743893, 0.09684927260508883), (0.8654886400455769, 0.0925580417324611), (0.9002881621917895, 0.08550062287545589), (0.925671979031705, 0.07139164557403718), (0.9791843577362956, 0.019558229595060643), (0.9808789503860551, 0.0)]
24	[(0.776040209315439, 0.09880903142102562), (0.8651097996381756, 0.0947784335266017), (0.9020031227381009, 0.08676204667563461), (0.9260156405724166, 0.07185326062977025), (0.9804895054860686, 0.018394879822858014), (0.9818602756713783, 0.0)]
25	[(0.7782368766739411, 0.10056951239508528), (0.8658754346729096, 0.09664740498891265), (0.9007788734448988, 0.08887275356635922), (0.9229367550071841, 0.07503492218429515), (0.9814538959294548, 0.017604654308762555), (0.9827188752810403, 0.0)]
26	[(0.7817084910458282, 0.1022799098301693), (0.865571450433003, 0.09859593079681145), (0.8988293347264005, 0.09126454345105334), (0.9204069088818989, 0.07772870149735717), (0.981835623388492, 0.017479001090642137), (0.9834615336355021, 0.0)]
27	[(0.7882537570807812, 0.10391378112034359), (0.8655741694875568, 0.10042637023924168), (0.897108830708427, 0.0934850016056431), (0.9173475246424844, 0.0808465885651226), (0.9826781910415098, 0.016733054088949886), (0.9841018820715453, 0.0)]
28	[(0.7923756815631748, 0.10548480572148175), (0.8686419710659201, 0.10185240986486727), (0.8969077211513261, 0.0949996129906969), (0.9177690610130329, 0.08095310589523377), (0.9834054164795046, 0.01608826868451935), (0.9846547791643535, 0.0)]
29	[(0.794884745354806, 0.10692794407379472), (0.868258527285611, 0.10349599960149504), (0.8954172335932635, 0.09693734507255804), (0.9154235554020923, 0.08339432949469043), (0.984028102720025, 0.015537436546228335), (0.9851319138888408, 0.0)]
30	[(0.798044404977432, 0.10831747781162249), (0.8681498834141964, 0.10506198989250526), (0.8937716289100945, 0.09889705564474298), (0.9148106910581815, 0.08428117380196852), (0.9846188843657839, 0.015000327584366332), (0.9855433185794265, 0.0)]
