N	Result
0	Error: Invalid range (0-0) for variable "k" ("[0..N]", line 42, column 7).
1	[(0.0, 0.001553661062863517)]
2	[(0.29017169312085744, 0.2638360273566868)]
3	[(0.6046948945234508, 0.5321078341851581), (0.6103636220435266, 0.5164549748757048)]
4	[(0.7020500498032924, 0.6331521623143005), (0.7335493677322764, 0.6331076692212867), (0.7404904989787133, 0.6131521827644542)]
5	[(0.76415734922236, 0.683867102695104), (0.6472815808989436, 0.6838846802927091), (0.7928021632800274, 0.6823126254035652), (0.8009426307322802, 0.6603892812849474), (0.8017673594066355, 0.6237308914417429)]
6	[(0.7950700497039319, 0.714525386343052), (0.8338002283761315, 0.7115588176191152), (0.8419737504231524, 0.6867439732702947), (0.8423890241997799, 0.6548776184346711)]
7	[(0.8394971621743076, 0.7485932220890061), (0.8549608919453631, 0.7473978627619213), (0.8746287459224479, 0.7386674366826773), (0.8749574292111808, 0.7380884671920569), (0.8808656392964185, 0.7126153351532986), (0.8810297277019996, 0.6862837454357609)]
8	[(0.8784676254977144, 0.7769596046078311), (0.8853850370381824, 0.7763753444609364), (0.8932559768314011, 0.7728728814024668), (0.9071098278584444, 0.7595906970041749), (0.9117624073760059, 0.732778376771458), (0.9118276988143231, 0.7111769579054136)]
9	[(0.9054088321016307, 0.7980741250707253), (0.9119879436962757, 0.7975993543401196), (0.9309078433527203, 0.774202023568002), (0.9343908761756692, 0.7292559926834417)]
10	[(0.9245495572875825, 0.8130370630035723), (0.9315764976312084, 0.8123886919092935), (0.9479355953998374, 0.7839638311698672), (0.9504910865624763, 0.7420853132323618)]
11	[(0.9400723499903125, 0.8248791560020524), (0.9455482356464785, 0.8243413079361341), (0.9606602874506653, 0.791649815676297), (0.9626422382192309, 0.7518803438362853)]
12	[(0.9530236471471546, 0.8341007383825232), (0.9568300703904006, 0.8337305574697159), (0.9703585072061882, 0.7976892297233733), (0.9719367745197968, 0.7594694701578992)]
13	[(0.9632464917254489, 0.8413211170527641), (0.9671108460061524, 0.8405852269727488), (0.9777992277722278, 0.8017604113916131), (0.9789755886524467, 0.7652703194694785)]
14	[(0.9711250695472193, 0.8468684359984996), (0.9741458376902195, 0.8463173751702527), (0.9808581310978232, 0.8260501157295544), (0.9842273006486937, 0.7696229553053312)]
15	[(0.9772685585480347, 0.8511560505224987), (0.9796608276790645, 0.8507260546449819), (0.9855916054600237, 0.8288100198586771), (0.9881511329506252, 0.7728944689444599)]
16	[(0.982137094721355, 0.8544773828690709), (0.9840009333833261, 0.8541382647762388), (0.9884490220031497, 0.8390558236372656), (0.9910979394729269, 0.775367896349536)]
17	[(0.985992871357072, 0.8570592773828498), (0.9874270513992867, 0.8567952175830552), (0.991303134371759, 0.8408520058235969), (0.9933160907002383, 0.7772423054676475)]
18	[(0.9886147042551119, 0.8590619003347328), (0.9901292785861135, 0.8588579616866038), (0.993472485930879, 0.8419207272237408), (0.9949826946288894, 0.7786591877105661)]
19	[(0.9910784600621312, 0.8606129685335213), (0.9922547288183331, 0.8604555731180147), (0.9949329273569674, 0.8462152285019859), (0.9962331924069124, 0.7797282676424467)]
20	[(0.9930106323533636, 0.8618146345961856), (0.993924577092104, 0.86169249395596), (0.9961903871765638, 0.8469302069342111), (0.9971715562898243, 0.7805348456187523)]
21	[(0.994527912261761, 0.8627464564823946), (0.9952365171570619, 0.8626515386153926), (0.997133779671843, 0.847544833903987), (0.9978761838010561, 0.7811437396362717)]
22	[(0.9957182186969318, 0.8634691059276738), (0.9962671522228531, 0.8633954878626761), (0.99784793959131, 0.8478563169030475), (0.9984053838158827, 0.781603389327139)]
23	[(0.9966507497265241, 0.8640294443670332), (0.9970772292153671, 0.8639718675311192), (0.9983417578945235, 0.8502310672588507), (0.9988027511850515, 0.7819502251094277)]
24	[(0.9973808638229985, 0.8644638427780486), (0.997711644757595, 0.8644192262985657), (0.9987518712066212, 0.8505861489098777), (0.999101010397148, 0.7822117699692669)]
25	[(0.9979524651632365, 0.8648006310050679), (0.9982090207105379, 0.864766031224973), (0.9990626443451656, 0.8507272813472542), (0.9993249925349594, 0.7824090767221927)]
26	[(0.9983998856919958, 0.8650617657601021), (0.9985988169261645, 0.86503493054109), (0.9992962054434433, 0.8508173880137988), (0.9994931685700202, 0.7825578711047398)]
27	[(0.9987499341394078, 0.8652642471378412), (0.9989041820544541, 0.8652434393764799), (0.999444675430273, 0.8541197561685694), (0.9996194452900301, 0.7826700653724412)]
28	[(0.999023684148327, 0.8654212432954107), (0.9991432341527873, 0.8654050236161349), (0.9995828515021146, 0.854191036221663), (0.9997142592121127, 0.7827546470373734)]
29	[(0.9992377509770549, 0.8655429749160051), (0.9993303931300792, 0.865530380827381), (0.9996859679050774, 0.8543818962452074), (0.9997854486166604, 0.7828184016717102)]
30	[(0.9994768274516437, 0.8656275779281792), (0.9997642060455797, 0.854408832834525), (0.99983890043706, 0.7828664513571529)]
