N	Result
0	Error: Invalid range (0-0) for variable "beta" ("[0..N]", line 33, column 10).
1	1.0
2	1.0
3	0.7536787216689611
4	0.27108764835616084
5	0.20265480677264278
6	0.1819949619898754
7	0.15909193042181824
8	0.07930548446564484
9	0.05630245702031193
10	0.044789327123228015
11	0.03686087564178663
12	0.021355851362924352
13	0.014960871111796807
14	0.011376545893210974
15	0.008854827932706049
16	0.0055826728577064765
17	0.003903491804518408
18	0.0028966330011425275
19	0.0021721628869281833
20	0.0014392899002591464
21	0.00100835347524463
22	7.346672279143166E-4
23	5.397835538025901E-4
24	3.6845839924680207E-4
25	2.5887829334121616E-4
26	1.8648520758239072E-4
27	1.352661777292062E-4
28	9.393015497887891E-5
29	6.617880409792636E-5
30	4.736243534209304E-5
