multi(Pmax=? [ F pc=-1 ], R{"defaultControllerUsed"}max=? [ C ]):
21	[(0.9727062438113308, 4.011631037195293), (0.9970183843006337, 3.785191721578235), (0.9863608925264165, 4.00116549578661), (0.9994057022835879, 1.8896084964870368), (0.9807911459609977, 4.009641752889614)]
22	[(0.9767842856036806, 4.031911485343676), (0.9882846466692112, 4.023097235287205), (0.9975981561864715, 3.7904900833335966), (0.9994768295503128, 1.890033854541302)]
23	[(0.9802425326100125, 4.049159693159125), (0.989929901508823, 4.0417350422002585), (0.9978168716099733, 3.8421429811350913), (0.9995389081227808, 1.8904088901666727)]
24	[(0.9831765060694637, 4.063836352910764), (0.9913379083291749, 4.057581253434233), (0.9981739569370658, 3.8465724722432384), (0.9995933043354768, 1.8907397264309136)]
25	[(0.9856666113199781, 4.076331428119193), (0.9925434673798865, 4.071060815914178), (0.9983273626076012, 3.892239745454523), (0.9996408919904698, 1.89103168900717)]
26	[(0.9877809271038415, 4.0869750574185275), (0.9935763268087205, 4.082533264688061), (0.9984746763726541, 3.9299941737183035), (0.9996829994877261, 1.8912894327272332)]
27	[(0.9895768749941857, 4.0960467852027715), (0.9944616852749997, 4.09230285195826), (0.9986917332246684, 3.9318175640643527), (0.9997200801820232, 1.8915170278951872)]
28	[(0.9911033753360653, 4.103783370675785), (0.9952213683883064, 4.100627108279304), (0.9988052663159726, 3.964261346262499), (0.9997524923990508, 1.8917180402752365)]
29	[(0.9924013794292921, 4.110385391095671), (0.9958735443253891, 4.107724076066997), (0.9989587672350461, 3.967256395842497), (0.9997813961184173, 1.8918956174380162)]
30	[(0.9935054812840475, 4.116022821394271), (0.9964336462597461, 4.11377841764034), (0.9990536479477725, 3.9924132794473923), (0.9998064740622412, 1.8920524665572696)]

Pmax=? [ (F pc=-1)&(G pc!=-2) ]:
N	Result
1	0.0
2	0.013181524685561543
3	0.013754670136033138
4	0.08749555449874183
5	0.09289333143726408
6	0.0933964822118995
7	0.09343949584218643
8	0.09379544011040633
9	0.09384625358295408
10	0.09385187504212737
11	0.09385250817638649
12	0.09385426864595672
13	0.09385463855851822
14	0.09385469048406624
15	0.09385469048406624
16	0.09385469048406624
17	0.09385469737097117
18	0.09385470638449638
19	0.09385470638449638
20	0.09385470638449638
21	0.09385470638449638
22	0.09385470638449638
23	0.09385470638449638
24	0.09385470638449638
25	0.09385470638449638
26	0.09385470638449638
27	0.09385470638449638
28	0.09385470638449638
29	0.09385470638449638
30	0.09385470638449638

