N	Result
0	Error: Invalid range (0-0) for variable "beta" ("[0..N]", line 33, column 10).
1	1.0
2	1.0
3	0.5414905473576724
4	0.3568461602380629
5	0.2305401136589707
6	0.1448898140838904
7	0.07825961065441905
8	0.050210180215358044
9	0.0339333408372469
10	0.02201816046706355
11	0.0128897185666849
12	0.0081399152056232
13	0.005354250526701477
14	0.0033605702094428726
15	0.002025599728551851
16	0.0012823287265662157
17	8.338748659925439E-4
18	5.213409491188298E-4
19	3.196028514817077E-4
20	2.0235452420840763E-4
21	1.2987811694608193E-4
22	8.112846625536952E-5
23	5.0242027994199824E-5
24	3.181147472621967E-5
25	2.0254708923257608E-5
26	1.266312848867903E-5
27	7.89164283656423E-6
28	4.991393178972511E-6
29	3.1618632900915954E-6
30	1.979171182093662E-6
