N	Result
0	Error: Invalid range (0-0) for variable "k" ("[0..N]", line 42, column 7).
1	[(0.0, 0.0019719544259421563)]
2	[(0.47874524959275605, 0.3746309829276873)]
3	[(0.615661658320778, 0.5158731245573567), (0.6422087904660696, 0.5157853047409252), (0.6473099514940284, 0.5016348977218626)]
4	[(0.7313112337257592, 0.6129528800771967), (0.7451127747829478, 0.6129195849869616), (0.7609305747921743, 0.6044810841271482), (0.7671732684407347, 0.5561426561468282)]
5	[(0.803371913166254, 0.6735976628836412), (0.6362722714085641, 0.6736112969371014), (0.8111803656781407, 0.673129758680338), (0.8294710039297004, 0.6530219588734664), (0.8337714468984394, 0.6046485680210643)]
6	[(0.8456365085754778, 0.7094772986726079), (0.6764945686782737, 0.7094901673434316), (0.8598880981913722, 0.7081926544725982), (0.8753918572107928, 0.6828069611755908), (0.8794836609108916, 0.6395672394064074)]
7	[(0.8761528980951562, 0.7342165193822537), (0.8900362765477245, 0.7328864339176616), (0.9061143999668662, 0.7061726447636176), (0.9100521493009024, 0.6632236733852971)]
8	[(0.9035909809172646, 0.7546495913727114), (0.9120295765571795, 0.7538320075337482), (0.9300509286653583, 0.7219381657927133), (0.933082896172084, 0.6814331716845466)]
9	[(0.9258890397208068, 0.770873678435192), (0.9317477422890923, 0.770205599812898), (0.9447612512751449, 0.7508654351786672), (0.9506954103007694, 0.6946378620637157)]
10	[(0.9424151404977505, 0.7829202970748139), (0.9474086118158357, 0.782387486904937), (0.9582867626965417, 0.7642697829101526), (0.9637450332809485, 0.7046476715839982)]
11	[(0.9549666931284024, 0.7918017867946286), (0.9591984212446363, 0.7913712719532204), (0.9689999611127247, 0.7705696149269131), (0.9731182961582079, 0.7119750141446616)]
12	[(0.9648864480768269, 0.7986212852330105), (0.9681611347484158, 0.7982870131793064), (0.9766230463324335, 0.7774603894703571), (0.9800364006974356, 0.7174272936853503)]
13	[(0.9720164518319065, 0.8039396082741808), (0.9752239437438525, 0.8036848392231973), (0.9826737839868647, 0.7807141842605876), (0.9852296915457556, 0.7215799280447258)]
14	[(0.9783650191843576, 0.8080282329289534), (0.980805306562306, 0.8078353825683225), (0.9867254145837482, 0.7877440744132171), (0.989097201118893, 0.724758757619541)]
15	[(0.9832515761074713, 0.8111293472497159), (0.9851462134380687, 0.8109810406673155), (0.9901012355579328, 0.7904350038848078), (0.9919401124226146, 0.7271221037248835)]
16	[(0.9870272281356645, 0.8134870222670885), (0.9884911072723241, 0.8133725815406736), (0.9926645186035997, 0.791733557261264), (0.9940317682471553, 0.7288676465206032)]
17	[(0.9899618926086228, 0.8152937798386177), (0.9910800820601138, 0.8152059506593041), (0.9945629908728975, 0.7927526601516974), (0.9955814660335505, 0.730167861097224)]
18	[(0.9922424383454821, 0.8166812513959069), (0.9930942990310634, 0.8166141863238076), (0.995702159644414, 0.8005135189870117), (0.9967318378747372, 0.7311433066258949)]
19	[(0.9940076332083837, 0.8177433517241979), (0.994659797785148, 0.8176920793708113), (0.996815591054925, 0.8012238702463546), (0.997583067750622, 0.7318721327592776)]
20	[(0.9953712227850107, 0.8185546732588019), (0.995871974425538, 0.8185153716328081), (0.9976348107398652, 0.8019219760925764), (0.9982117289702418, 0.7324141675789115)]
21	[(0.996425291597528, 0.8191749811620539), (0.9968092422461071, 0.8191448422112405), (0.9981589945729081, 0.8065042665155442), (0.9986765329936765, 0.7328172910956752)]
22	[(0.9972407790645668, 0.8196499641397048), (0.9975344975028091, 0.8196268777978908), (0.9986308138277176, 0.8071210867476362), (0.9990206886141357, 0.7331177736052003)]
23	[(0.997871255879886, 0.8200137223455715), (0.9980959365803572, 0.8199960535918525), (0.9989853881699529, 0.8073701174388893), (0.999275480835466, 0.7333417785452612)]
24	[(0.9983581770415955, 0.8202921236180679), (0.9985302139352106, 0.8202785962566577), (0.9992476315805077, 0.8076254788976137), (0.9994639615184684, 0.7335085278612984)]
25	[(0.9987340095807741, 0.8205051352119322), (0.9988657906511046, 0.820494773075178), (0.9994235254514924, 0.8100405291430486), (0.9996033627261991, 0.7336325441606293)]
26	[(0.9991249832206611, 0.8206602189024159), (0.999571711280707, 0.810370702301887), (0.9997065045801692, 0.7337247937018443)]
27	[(0.9993251569497582, 0.8207868741049023), (0.9996830695462463, 0.8104225718740127), (0.9997827510708571, 0.7337933404082312)]
28	[(0.9994797114789951, 0.8208838320664578), (0.9997654611210025, 0.8104613080593632), (0.9998392416936503, 0.7338443909960172)]
29	[(0.9995989892804666, 0.8209580463382012), (0.999825883396697, 0.810667766173855), (0.9998810383801968, 0.7338823415806508)]
30	[(0.9996909327427382, 0.8210147511511134), (0.9998664903009267, 0.8125057129357465), (0.9999119642384119, 0.7339105469703714)]
