N	Result
0	Error: Invalid range (0-0) for variable "beta" ("[0..N]", line 33, column 10).
1	1.0
2	0.9984463389371362
3	0.6818152265364782
4	0.3556454741483428
5	0.22832010680594195
6	0.16501285671980487
7	0.12701928678108051
8	0.09294738897644719
9	0.06658621124632372
10	0.047737372328432455
11	0.03476361331357078
12	0.025349610093442408
13	0.018434491373700054
14	0.013366178764234092
15	0.009698553819247639
16	0.00704588695309581
17	0.005121225314629364
18	0.003721006367672787
19	0.0027030074489866707
20	0.0019636157265689154
21	0.001426705217608783
22	0.001036657998042785
23	7.532302542524923E-4
24	5.47282122741972E-4
25	3.976489012571174E-4
26	2.889327958724149E-4
27	2.0994137334341153E-4
28	1.5254547908204733E-4
29	1.1084104645901874E-4
30	8.053840135621528E-5
