multi(Pmax=? [ F pc=-1 ], Pmax=? [ F pc=-2 ]):
N	Result
12	[(0.04514056552823828, 0.9337689580447546), (0.0, 0.9338779886580739), (0.06254847371096967, 0.9169293768177549), (0.2957932576714352, 0.5192374722705069), (0.27606080316700393, 0.592104703731833), (0.3077948157008996, 0.4153695263034382), (0.308126369839146, 0.39834158559596744), (0.1652309536675416, 0.7817145904093248), (0.2114769494691724, 0.7156427068498799), (0.24964677146106498, 0.6529570594898562)]
13	[(0.04540457725367206, 0.9389781657087282), (0.0, 0.9390855939880136), (0.06309090114647968, 0.9218210891507383), (0.31094177649634513, 0.5239796292792537), (0.29239530496341837, 0.5916075945257827), (0.3220212142755124, 0.4284343975774012), (0.32229236998714655, 0.41361321891368175), (0.16729067380679946, 0.7930984152870995), (0.24083614503777584, 0.6934089913090928), (0.26652477212411146, 0.6503411953029496)]
14	[(0.045509802591700385, 0.9428760287810891), (0.0, 0.9429689509310502), (0.06349209776973197, 0.9254150496093834), (0.32479375423695445, 0.5268945243079248), (0.30786673835335315, 0.5885437932881524), (0.33479519264551294, 0.4406292255901563), (0.3350360430849091, 0.42735156709421673), (0.16839669285183878, 0.8021374501195142), (0.24315792532862385, 0.7076902186723251), (0.2835057668316035, 0.643635343826572)]
15	[(0.04555361807841671, 0.9457891443051831), (0.0, 0.9458872927105233), (0.06378853551977991, 0.9280555120891063), (0.3372735910835022, 0.5293678351407175), (0.3219149704705757, 0.5852624897042813), (0.3462844947020714, 0.45165586306625505), (0.3465010924245976, 0.4397098703201936), (0.16963919423933668, 0.8083722350096361), (0.257877147294545, 0.7013414820908285), (0.29855804467607333, 0.637541285524305)]
16	[(0.34850989248578557, 0.5315252982263559), (0.3346417183379354, 0.5819899932848027), (0.35663694983708377, 0.4611997748214452), (0.35681627414598616, 0.45082673923858113), (0.0449240985208529, 0.9480905743057149), (0.04590763464742441, 0.9478003905666792), (0.06121865803034115, 0.9329568276607986), (0.0976040512091457, 0.8932839072758112), (0.21843517417570182, 0.7589106781680572), (0.26991270923009536, 0.6964369096967847), (0.31295923488029187, 0.6302753285773697)]
17	[(0.35862297732823695, 0.5334373899132075), (0.34609939367939746, 0.5789868517116361), (0.36593585838227777, 0.47015906042796696), (0.36609717515253387, 0.4608270459792183), (0.04495148930494777, 0.9497578105959255), (0.04565155716220364, 0.9495735800093897), (0.061372562165077124, 0.93434813526254), (0.097871258936299, 0.8953979650380703), (0.21921700642409084, 0.7638872309468481), (0.27472385921712583, 0.699264512003096), (0.31655741455768327, 0.6400641230914755)]
18	[(0.36762685177368387, 0.5356738166862585), (0.3559222047695962, 0.5775078668671898), (0.374302550406726, 0.4782182608130665), (0.37444766461097, 0.4698231447094128), (0.04497002172246269, 0.9510206931809086), (0.04531546740169552, 0.9509669714503528), (0.05219972483557341, 0.9447372588088583), (0.0642888120633506, 0.9324663751049106), (0.21979506478774924, 0.7676110148479259), (0.2761975392695777, 0.7042545848943764), (0.32916047610848725, 0.63229139569194)]
19	[(0.045248035867174484, 0.9519364800705896), (0.0, 0.9519778205112119), (0.06351883134377259, 0.9341214793832542), (0.375825258852327, 0.5371543221191217), (0.3651617328800302, 0.5751373580734397), (0.3818305913713298, 0.48546824061163885), (0.38196113015685584, 0.47791606328694514), (0.22022240104173124, 0.7703952302425703), (0.291595574357737, 0.6913543142967667), (0.341194284030922, 0.6241565970961775)]
20	[(0.04509891540149035, 0.9526979224503952), (0.052874955313324944, 0.9454766502996901), (0.38320199040695263, 0.5384854883365682), (0.3681715307066481, 0.5861834930829816), (0.3886041301441764, 0.49199051479860534), (0.38872155841503425, 0.48519663349195336), (0.22053829564094937, 0.772475355792986), (0.2921919025155587, 0.6950813727870176), (0.3424533970357771, 0.6316193622979566)]
21	[(0.045052231578347965, 0.9532523277277818), (0.04871667217781055, 0.9500247641805404), (0.3898393387538535, 0.5396835172365437), (0.3762307565086934, 0.58281428337175), (0.3946988565315691, 0.4978582927122096), (0.39480449231409015, 0.4917465220623361), (0.2207718071280777, 0.7740283414035722), (0.2928933143742887, 0.6975825059921554), (0.34385559398419385, 0.636602477196641)]
22	[(0.0450439919134009, 0.9536701270262398), (0.04743496976557903, 0.9516182181230233), (0.30768067547396444, 0.6838854509334096), (0.3835626034598696, 0.5795862998853014), (0.39581142369867106, 0.5407621910898779), (0.4001828566018236, 0.5031373660451388), (0.4002778854456143, 0.4976391615618777)]
23	[(0.04501258896733981, 0.9539878664017678), (0.04675504431188618, 0.9525321252477688), (0.3202772958672213, 0.6723109882698775), (0.39016036868008797, 0.5766800985957585), (0.40118496051808483, 0.5417335804569724), (0.4051173792355486, 0.5078868824318648), (0.4052028674101331, 0.5029405863125382)]
24	[(0.04501359098295908, 0.9542281314544465), (0.0463421352411017, 0.9531203183119334), (0.3218451720957874, 0.6725341385504685), (0.39606298425010944, 0.5741447095882), (0.40601998097930214, 0.5426084175401226), (0.40955752430322334, 0.512160028143795), (0.4096344307651534, 0.5077101822224566)]
25	[(0.045014319712812834, 0.954410416688267), (0.04591557317334705, 0.9536730651009071), (0.33389794603613526, 0.6611059134889672), (0.4013231840442151, 0.5719803378162515), (0.4103704954218058, 0.5433963146639889), (0.41355286103389827, 0.5160046353596365), (0.413622048226157, 0.5120013593864305)]
